SITE_NO	STATION_NM	SAMPLE_START_DT	SAMPLE_END_DT	MEDIUM_CD	RECORD_NO	sum_cat	sum_an	perc.diff	complete.chem	Alk	Ca	Cl	Fe	K	Mg	Mn	Na	SO4	flags
391516106230301	SC00908019BCBB1 LSGS-04 LITTLE SUGARLOAF GL SEEP 4	2011-06-07 11:50:00	NA	WG 	01102685	1.91231248249	2.46878599	-12.7016891084333	Complete	0	1.1360234	0.00950677	0.00023595209	0.04294882	0.50542518	0.1206691304	0.10701	2.45927922	Charge imbalance > 10%
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	2011-06-07 16:00:00	NA	WG 	01102686	0.3153957994	0.31063287	0.760816498158909	Complete	0.185814	0.1499495	0.01193283	0.0090592138	0.0241731	0.05817903	0.0001284556	0.0739065	0.11288604	
391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	2011-06-07 16:45:00	NA	WG 	01102687	0.38055610177	0.35381958	3.64071447812097	Complete	0.233766	0.1737518	0.00947856	0.00864585897	0.0124063	0.08623992	0.0003322228	0.09918	0.11057502	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	2011-06-08 10:50:00	NA	WG 	01102688	0.81464473056	0.79338641	1.32200925863891	Complete	0.023976	0.5031916	0.00741923	0.00151175496	0.0317192	0.19741371	0.0025954656	0.078213	0.76199118	
391517106224701	SC00908019BDBB2 BPS-03 BUFFALO PK SEEP NR LEADVILL	2011-06-08 12:05:00	NA	WG 	01102689	0.49836622597	0.49026534	0.819403936597124	Complete	0.307692	0.2376238	0.0093093	0.00364463437	0.01312254	0.15840825	0.0002200016	0.085347	0.17326404	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	2011-06-08 14:20:00	NA	WG 	01102690	1.06398237131	1.07545968	-0.536462704515521	Complete	0.083916	0.6869733	0.00727818	0.00018732211	0.03322842	0.24744603	9.92992e-05	0.096048	0.9842655	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	2011-06-08 15:00:00	NA	WG 	01102691	1.61824091047	1.84813752	-6.63218440055978	Complete	0.001998	1.0743969	0.00710892	0.00063122287	0.03929088	0.4106271	0.0060773076	0.0872175	1.8390306	Charge imbalance > 5%
391606106241301	SC00908114ADA TLSS-0A	2011-06-09 12:25:00	NA	WG 	01102692	0.34035039539	0.51395039	-20.3207111100511	Complete	-0.035964	0.1857278	0.00538811	0.00224883219	0.01724092	0.08467641	0.0007794332	0.049677	0.54452628	Charge imbalance > 10%
391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2011-06-09 15:05:00	NA	WG 	01102693	1.44931091279	1.47948562	-1.03027666388472	Complete	0.101898	0.4085313	0.00942214	0.01415135999	0.0167549	0.69740775	0.1439466028	0.168519	1.36816548	
391512106224001	SC00908019BDCA1 K-ADIT MINE DRAINAGE TUN NR LEADVI	2011-06-08 09:20:00	NA	WG 	01102696	5.10725548571	5.47641448	-3.48800553575497	Complete	3.4965	2.3669566	0.01229956	0.00018732211	0.0249405	2.57098647	0.0086385936	0.135546	1.96761492	
