RECORD_NO	SITE_NO	STATION_NM	SAMPLE_START_DT	MEDIUM_CD	Fil.greater.Unf	Fil.greater.Unf.10perc	RPD.greater.10perc	RPD.greater.10perc.DL	imbalance.greater.10perc	imbalance.greater.10perc.complete
00603737	391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2006-06-07 15:55:00	WG 	0	0			TRUE	TRUE
00603738	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2006-06-07 14:00:00	WG 	1	1			FALSE	FALSE
00603739	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2006-07-12 12:40:00	WG 	3	1	3	4	FALSE	FALSE
00603740	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2006-08-24 12:50:00	WG 	2	2			FALSE	FALSE
00603741	391600106235701	TLS-05 TURQUOISE LAKE SOUTH 5	2006-06-08 15:20:00	WS 	0	0			TRUE	TRUE
00603742	391600106235702	TLS-06 TURQUOISE LAKE SOUTH 6	2006-06-08 15:20:00	WS 	0	0			TRUE	TRUE
00603743	391556106235701	SC00908113CBAA1 TLS-01 TURQUOISE LAKE SOUTH SEEP 1	2006-06-08 11:30:00	WG 	0	0			TRUE	TRUE
00603744	391603106235601	SC00908113BCDA1 TLSS-02 TURQUOISE LAKE SOUTH SEEP	2006-06-08 13:35:00	WG 	0	0			TRUE	TRUE
00603745	391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2006-06-08 12:00:00	WG 	0	0			TRUE	TRUE
00603746	391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2006-07-12 15:50:00	WG 	2	4			FALSE	FALSE
00603747	391512106235701	SC00908124BCAD1 TT-0 TIGER MINE DRAINAGE TUN NR LE	2006-06-07 11:06:00	WG 	2	1			TRUE	TRUE
00603748	391512106235701	SC00908124BCAD1 TT-0 TIGER MINE DRAINAGE TUN NR LE	2006-07-12 14:30:00	WG 	0	0			TRUE	TRUE
00603749	391512106235701	SC00908124BCAD1 TT-0 TIGER MINE DRAINAGE TUN NR LE	2006-08-24 14:05:00	WG 	3	1			TRUE	TRUE
00603750	391506106235201	SC00908124BDCC1 WEST WELL NR TIGER MINE DR TUN NR	2006-06-07 11:30:00	WG 	1	1			TRUE	TRUE
00603751	391506106235201	SC00908124BDCC1 WEST WELL NR TIGER MINE DR TUN NR	2006-07-12 14:45:00	WG 	0	2			FALSE	FALSE
00603752	391506106235201	SC00908124BDCC1 WEST WELL NR TIGER MINE DR TUN NR	2006-08-24 13:35:00	WG 	0	0			FALSE	FALSE
00603992	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2006-07-12 13:45:00	WS 	1	1			FALSE	FALSE
00603993	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2006-08-24 13:20:00	WS 	0	0			FALSE	FALSE
00603994	391445106230901	SBG-01 STRAWBERRY GULCH 01 NR LEADVILLE, CO	2006-06-07 13:10:00	WS 	3	0			TRUE	TRUE
00700741	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2006-10-23 12:15:00	WGQ	1	0			FALSE	FALSE
00700742	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2006-10-23 12:20:00	OAQ	0	3			TRUE	TRUE
00700743	391510106241001	SC00908124BCCB1 CG-05 CABIN SHAFT NR COLORADO GULC	2006-10-24 09:30:00	OAQ	0	2			TRUE	TRUE
00700744	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2006-10-23 14:20:00	OAQ	0	5			TRUE	TRUE
00700745	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2006-10-24 11:50:00	OAQ	0	0			TRUE	TRUE
00700746	391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2006-10-23 15:20:00	WGQ	0	0			TRUE	TRUE
00700747	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2006-10-23 11:15:00	WGQ	0	0			TRUE	TRUE
00700922	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2006-10-23 11:00:00	WSQ	4	1			FALSE	FALSE
00700923	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2006-10-23 11:05:00	WSQ	2	2			FALSE	FALSE
00700996	391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	2006-10-24 15:27:00	WG 	0	0			TRUE	TRUE
00700997	391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	2006-10-24 13:20:00	WG 	0	0			TRUE	TRUE
00700998	391517106224701	SC00908019BDBB2 BPS-03 BUFFALO PK SEEP NR LEADVILL	2006-10-23 12:50:00	WG 	0	0			TRUE	TRUE
00700999	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2006-10-23 12:00:00	WG 	3	0	5	4	FALSE	FALSE
00701000	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2006-10-23 12:35:00	WS 	2	0			FALSE	FALSE
00701001	391510106241001	SC00908124BCCB1 CG-05 CABIN SHAFT NR COLORADO GULC	2006-10-24 09:35:00	WG 	1	1			FALSE	FALSE
00701002	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2006-10-23 09:45:00	WG 	4	1			FALSE	FALSE
00701003	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2006-10-23 14:15:00	WS 	1	0			FALSE	FALSE
00701004	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2006-10-23 10:15:00	WS 	0	0			FALSE	FALSE
00701005	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2006-10-24 11:38:00	WS 	0	0			TRUE	TRUE
00701006	391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2006-10-24 10:40:00	WS 	0	0			TRUE	TRUE
00701007	391516106230301	SC00908019BCBB1 LSGS-04 LITTLE SUGARLOAF GL SEEP 4	2006-10-24 10:54:00	WG 	0	0			TRUE	TRUE
00701008	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2006-10-23 10:35:00	WG 	2	1			FALSE	FALSE
00701009	391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2006-10-23 15:15:00	WG 	0	0	1	7	TRUE	TRUE
00701011	391456106232901	SBG-03 STRAWBERRY GULCH 3	2006-10-24 12:00:00	WS 	0	0			TRUE	TRUE
00701012	391449106232001	SC00908124DDBC1 SBGS-02 STRAWBERRY GULCH SEEP 2	2006-10-24 12:40:00	WG 	0	0			TRUE	TRUE
00701013	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2006-10-23 10:15:00	WS 	5	0			TRUE	TRUE
00701014	391513106232601	SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4	2006-10-24 09:45:00	WG 	0	0			TRUE	TRUE
00701015	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2006-10-23 11:00:00	WG 	0	0	2	1	TRUE	TRUE
00701016	391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2006-10-23 11:25:00	WG 	0	0			TRUE	TRUE
00701017	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2006-10-23 13:10:00	WG 	2	1			FALSE	FALSE
00701018	391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2006-10-20 10:50:00	WG 	1	0			FALSE	FALSE
00701020	391512106235701	SC00908124BCAD1 TT-0 TIGER MINE DRAINAGE TUN NR LE	2006-10-24 10:10:00	WG 	6	0			TRUE	TRUE
00701021	391506106235201	SC00908124BDCC1 WEST WELL NR TIGER MINE DR TUN NR	2006-10-24 10:30:00	WG 	0	0			FALSE	FALSE
00701094	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2006-10-23 16:00:00	WS 	1	0			FALSE	FALSE
00703771	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2006-10-23 10:55:00	WS 	3	0	6	17	FALSE	FALSE
01003184	391606106241601	SC00908113ADB TL-ADIT	2010-06-08 11:05:00	WGQ	7	1			TRUE	TRUE
01003185	391600106235702	TLS-06 TURQUOISE LAKE SOUTH 6	2010-06-08 14:55:00	OAQ	0	6			FALSE	FALSE
01003186	391456106232901	SBG-03 STRAWBERRY GULCH 3	2010-06-09 15:50:00	WSQ	2	0			FALSE	FALSE
01003187	391456106232901	SBG-03 STRAWBERRY GULCH 3	2010-06-09 16:30:00	OAQ	0	1			TRUE	TRUE
01003188	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2010-06-10 11:40:00	WSQ	2	0			FALSE	FALSE
01003189	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2010-06-10 14:15:00	OAQ	0	1			TRUE	FALSE
01003190	391606106241301	SC00908114ADA TLSS-0A	2010-06-11 10:15:00	WGQ	0	0			TRUE	TRUE
01003191	391559106235801	SC00908113BCD  TLS-04	2010-06-11 11:45:00	OAQ	1	3			TRUE	FALSE
01003197	391517106233601	SC00908124ACBB1 SLGS-03 SUGARLOAF GULCH SEEP 3	2010-06-08 15:45:00	WGQ	3	1			FALSE	FALSE
01003198	391516106230301	SC00908019BCBB1 LSGS-04 LITTLE SUGARLOAF GL SEEP 4	2010-06-09 10:50:00	WGQ	0	0			TRUE	TRUE
01003199	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2010-06-09 16:35:00	OAQ	1	3			FALSE	FALSE
01003200	391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	2010-06-10 16:00:00	OAQ	0	1			TRUE	FALSE
01003201	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2010-06-11 09:50:00	WSQ	4	2			FALSE	FALSE
01003202	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2010-06-11 10:45:00	OAQ	0	6			FALSE	FALSE
01003203	391521106233801	SC00908124BAD SLGS-08	2010-06-08 15:05:00	OAQ	0	0			TRUE	TRUE
01003230	391512106224001	SC00908019BDCA1 K-ADIT MINE DRAINAGE TUN NR LEADVI	2010-06-10 13:50:00	WGQ	0	0			FALSE	FALSE
01003451	391606106241601	SC00908113ADB TL-ADIT	2010-06-08 11:00:00	WG 	7	0	1	2	TRUE	TRUE
01003452	391603106235601	SC00908113BCDA1 TLSS-02 TURQUOISE LAKE SOUTH SEEP	2010-06-08 13:00:00	WG 	7	0			TRUE	TRUE
01003453	391600106235702	TLS-06 TURQUOISE LAKE SOUTH 6	2010-06-08 14:35:00	WS 	1	0			FALSE	FALSE
01003454	391556106235701	SC00908113CBAA1 TLS-01 TURQUOISE LAKE SOUTH SEEP 1	2010-06-08 15:35:00	WG 	0	0			FALSE	FALSE
01003455	391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2010-06-08 16:45:00	WG 	8	0			FALSE	FALSE
01003456	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2010-06-09 10:00:00	WS 	4	1			FALSE	FALSE
01003457	391445106230701	SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1	2010-06-09 11:45:00	WG 	0	0			FALSE	FALSE
01003458	391445106230901	SBG-01 STRAWBERRY GULCH 01 NR LEADVILLE, CO	2010-06-09 13:15:00	WS 	1	0			FALSE	FALSE
01003459	391456106232901	SBG-03 STRAWBERRY GULCH 3	2010-06-09 15:45:00	WS 	0	0	2	12	FALSE	FALSE
01003460	391449106232001	SC00908124DDBC1 SBGS-02 STRAWBERRY GULCH SEEP 2	2010-06-09 14:20:00	WG 	0	0			FALSE	FALSE
01003461	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2010-06-10 09:30:00	WS 	2	0			FALSE	FALSE
01003462	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2010-06-10 09:50:00	WS 	0	0			FALSE	FALSE
01003463	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2010-06-10 11:35:00	WS 	0	1	2	3	FALSE	FALSE
01003464	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2010-06-10 14:00:00	WS 	2	0			FALSE	FALSE
01003465	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2010-06-10 15:30:00	WG 	7	1			FALSE	FALSE
01003466	391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2010-06-10 16:00:00	WG 	0	0			FALSE	FALSE
01003467	391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2010-06-10 17:05:00	WG 	0	0			TRUE	TRUE
01003468	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2010-06-10 17:35:00	WG 	0	0			FALSE	FALSE
01003469	391606106241301	SC00908114ADA TLSS-0A	2010-06-11 10:00:00	WG 	0	0	1	17	TRUE	TRUE
01003470	391600106235701	TLS-05 TURQUOISE LAKE SOUTH 5	2010-06-11 11:30:00	WS 	0	0			FALSE	FALSE
01003471	391559106235801	SC00908113BCD  TLS-04	2010-06-11 11:50:00	WG 	0	1			FALSE	FALSE
01003491	391504106225001	SC00908019CBA2 LSGS-0A	2010-06-08 09:10:00	WG 	1	0			FALSE	FALSE
01003492	391510106241001	SC00908124BCCB1 CG-05 CABIN SHAFT NR COLORADO GULC	2010-06-08 11:35:00	WG 	0	0			FALSE	FALSE
01003493	391512106235701	SC00908124BCAD1 TT-0 TIGER MINE DRAINAGE TUN NR LE	2010-06-08 13:00:00	WG 	0	14			TRUE	TRUE
01003494	391506106235201	SC00908124BDCC1 WEST WELL NR TIGER MINE DR TUN NR	2010-06-08 13:50:00	WG 	0	0			FALSE	FALSE
01003495	391521106233801	SC00908124BAD SLGS-08	2010-06-08 15:00:00	WG 	1	0			FALSE	FALSE
01003496	391517106233601	SC00908124ACBB1 SLGS-03 SUGARLOAF GULCH SEEP 3	2010-06-08 15:40:00	WG 	0	0	3	0	FALSE	FALSE
01003497	391513106233601	SC00908124ACBC1 SBGS-04 STRAWBERRY GULCH SEEP 4	2010-06-08 17:00:00	WG 	0	0			FALSE	FALSE
01003498	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2010-06-09 09:10:00	WS 	2	0			FALSE	FALSE
01003499	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2010-06-09 10:15:00	WG 	0	0			FALSE	FALSE
01003500	391516106230301	SC00908019BCBB1 LSGS-04 LITTLE SUGARLOAF GL SEEP 4	2010-06-09 10:45:00	WG 	0	0	2	4	TRUE	TRUE
01003501	391521106231001	SC00908124AADC1 LSGS-07 LITTLE SUGARLOAF GL SEEP 7	2010-06-09 11:50:00	WG 	0	0			TRUE	TRUE
01003502	391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2010-06-09 12:35:00	WS 	8	0			TRUE	TRUE
01003503	391517106230601	SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5	2010-06-09 13:05:00	WG 	0	0			FALSE	FALSE
01003504	391511106232101	SC00908124ACA SLGS-02B	2010-06-09 14:40:00	WG 	7	0			TRUE	TRUE
01003505	391509106231901	SC00908124ADCB1 SLGS-02 SUGARLOAF GULCH SEEP 2	2010-06-09 15:15:00	WG 	0	0			FALSE	FALSE
01003506	391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2010-06-09 15:55:00	WS 	8	0			TRUE	TRUE
01003507	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2010-06-09 16:25:00	WG 	0	0			FALSE	FALSE
01003508	391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	2010-06-10 09:50:00	WG 	0	0			FALSE	FALSE
01003509	391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	2010-06-10 10:20:00	WG 	0	0			FALSE	FALSE
01003510	391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	2010-06-10 11:15:00	WS 	2	0			FALSE	FALSE
01003511	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2010-06-10 12:15:00	WG 	0	0			FALSE	FALSE
01003512	391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	2010-06-10 12:50:00	WG 	0	0			FALSE	FALSE
01003513	391512106224001	SC00908019BDCA1 K-ADIT MINE DRAINAGE TUN NR LEADVI	2010-06-10 13:40:00	WG 	0	0	1	4	FALSE	FALSE
01003515	391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	2010-06-10 15:20:00	WG 	0	0			FALSE	FALSE
01003516	391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	2010-06-10 16:10:00	WG 	0	0			FALSE	FALSE
01003517	391517106224701	SC00908019BDBB2 BPS-03 BUFFALO PK SEEP NR LEADVILL	2010-06-10 16:40:00	WG 	0	0			FALSE	FALSE
01003518	391516106224401	SC00908019BDBB3 BPS-04 BUFFALO PK SEEP NR LEADVILL	2010-06-10 17:15:00	WG 	0	0			FALSE	FALSE
01003519	391500106225501	SC00908019CBAC1 SLGS-01 SUGARLOAF GULCH SEEP 1	2010-06-11 09:15:00	WG 	0	0			FALSE	FALSE
01003520	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2010-06-11 09:45:00	WS 	7	2	3	22	FALSE	FALSE
01003521	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2010-06-11 10:55:00	WG 	0	0			FALSE	FALSE
01003522	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2010-06-15 10:30:00	WS 	2	0			FALSE	FALSE
01003548	391513106232601	SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4	2010-06-08 17:45:00	WG 	0	0			FALSE	FALSE
01004207	391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	2010-08-30 11:05:00	WGQ	0	0			FALSE	FALSE
01004387	391606106241601	SC00908113ADB TL-ADIT	2010-09-28 10:52:00	WGQ	7	0			TRUE	TRUE
01004388	391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	2010-09-28 14:12:00	OAQ	0	0			TRUE	FALSE
01004389	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2010-09-29 10:52:00	WSQ	2	0			FALSE	FALSE
01004390	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2010-09-29 12:07:00	OAQ	0	1			TRUE	FALSE
01004521	391512106235701	SC00908124BCAD1 TT-0 TIGER MINE DRAINAGE TUN NR LE	2010-09-28 10:05:00	OAQ	0	0			TRUE	FALSE
01004523	391513106232601	SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4	2010-09-29 11:05:00	WGQ	0	0			TRUE	TRUE
01004524	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2010-09-29 08:50:00	OAQ	0	3			TRUE	FALSE
01004607	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2010-09-28 16:05:00	WGQ	3	0			FALSE	FALSE
01005554	391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	2010-08-30 14:05:00	WG 	0	1			FALSE	FALSE
01005555	391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	2010-08-30 11:04:00	WG 	0	0			FALSE	FALSE
01005556	391541106223101	SC00908018CDAD1 WELL NR TURQUOISE LK NR LEADVILLE,	2010-08-27 11:45:00	WG 	1	1			FALSE	FALSE
01006229	391606106241601	SC00908113ADB TL-ADIT	2010-09-28 10:45:00	WG 	0	0	1	14	TRUE	TRUE
01006230	391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	2010-09-28 14:10:00	WG 	0	0			FALSE	FALSE
01006231	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2010-09-28 16:45:00	WG 	4	1			FALSE	FALSE
01006232	391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2010-09-29 09:00:00	WG 	4	0			FALSE	FALSE
01006233	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2010-09-29 14:20:00	WG 	0	0			FALSE	FALSE
01006234	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2010-09-29 15:10:00	WS 	2	0			TRUE	TRUE
01006236	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2010-09-29 10:10:00	WS 	0	0			FALSE	FALSE
01006237	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2010-09-29 10:45:00	WS 	2	0	1	9	FALSE	FALSE
01006238	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2010-09-29 12:05:00	WS 	5	1			FALSE	FALSE
01006239	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2010-09-29 17:45:00	WS 	1	0			FALSE	FALSE
01006240	391500106225501	SC00908019CBAC1 SLGS-01 SUGARLOAF GULCH SEEP 1	2010-09-29 18:10:00	WG 	0	1			FALSE	FALSE
01006241	391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2010-09-29 16:50:00	WG 	0	0			TRUE	TRUE
01006682	391512106235701	SC00908124BCAD1 TT-0 TIGER MINE DRAINAGE TUN NR LE	2010-09-28 10:00:00	WG 	9	0			TRUE	TRUE
01006683	391506106235201	SC00908124BDCC1 WEST WELL NR TIGER MINE DR TUN NR	2010-09-28 11:05:00	WG 	1	1			FALSE	FALSE
01006684	391510106241001	SC00908124BCCB1 CG-05 CABIN SHAFT NR COLORADO GULC	2010-09-28 12:00:00	WG 	3	0			FALSE	FALSE
01006685	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2010-09-28 14:30:00	WG 	3	2			FALSE	FALSE
01006686	391435106225801	SC00908030BBB PPS PERISCOPE PIPE SPRING	2010-09-28 16:10:00	WG 	3	0			FALSE	FALSE
01006687	391445106230701	SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1	2010-09-28 16:30:00	WG 	0	0			FALSE	FALSE
01006688	391456106232901	SBG-03 STRAWBERRY GULCH 3	2010-09-28 17:45:00	WS 	1	4			FALSE	FALSE
01006689	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2010-09-29 08:45:00	WG 	1	3			FALSE	FALSE
01006690	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2010-09-29 09:40:00	WG 	2	2			FALSE	FALSE
01006691	391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2010-09-29 10:05:00	WS 	5	0			TRUE	TRUE
01006692	391513106232601	SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4	2010-09-29 11:00:00	WG 	0	0	0	2	TRUE	TRUE
01006693	391449106232001	SC00908124DDBC1 SBGS-02 STRAWBERRY GULCH SEEP 2	2010-09-29 12:25:00	WG 	0	0			FALSE	FALSE
01006694	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2010-09-29 14:20:00	WG 	0	0			FALSE	FALSE
01006695	391516106230301	SC00908019BCBB1 LSGS-04 LITTLE SUGARLOAF GL SEEP 4	2010-09-29 14:50:00	WG 	0	0			FALSE	FALSE
01006696	391517106230601	SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5	2010-09-29 15:20:00	WG 	0	0			FALSE	FALSE
01006697	391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2010-09-29 15:50:00	WS 	7	1			FALSE	FALSE
01006699	391516106224401	SC00908019BDBB3 BPS-04 BUFFALO PK SEEP NR LEADVILL	2010-09-29 17:15:00	WG 	0	0			FALSE	FALSE
01006700	391506106225201	SC00908019BCDD1 LSGS-01 LITTLE SUGARLOAF GL SEEP 1	2010-09-29 18:05:00	WG 	0	0			FALSE	FALSE
01006701	391504106225001	SC00908019CBA2 LSGS-0A	2010-09-29 18:30:00	WG 	1	2			FALSE	FALSE
01006708	391605106242001	SC00908114AC TLSS-0B	2010-09-28 12:15:00	WG 	0	0			FALSE	FALSE
01006714	391501106225001	SLGS-09 SUGARLOAF GULCH SEEP 9 PIPE NR DINERO, CO	2010-09-29 16:10:00	WG 	0	0			FALSE	FALSE
01006715	391517106224701	SC00908019BDBB2 BPS-03 BUFFALO PK SEEP NR LEADVILL	2010-09-29 16:40:00	WG 	0	0			FALSE	FALSE
01006716	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2010-09-29 17:30:00	WS 	0	0			FALSE	FALSE
01006755	391541106223101	SC00908018CDAD1 WELL NR TURQUOISE LK NR LEADVILLE,	2010-08-27 10:30:00	WG 	1	5			TRUE	TRUE
01102622	391506106225201	SC00908019BCDD1 LSGS-01 LITTLE SUGARLOAF GL SEEP 1	2011-06-07 10:02:00	OAQ	1	2			TRUE	TRUE
01102623	391512106224001	SC00908019BDCA1 K-ADIT MINE DRAINAGE TUN NR LEADVI	2011-06-08 09:22:00	OAQ	0	1			TRUE	TRUE
01102624	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2011-06-09 09:22:00	OAQ	0	3			TRUE	TRUE
01102625	391516106230301	SC00908019BCBB1 LSGS-04 LITTLE SUGARLOAF GL SEEP 4	2011-06-07 11:57:00	WGQ	1	0			TRUE	TRUE
01102626	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2011-06-08 10:07:00	WGQ	1	0			FALSE	FALSE
01102628	391521106233801	SC00908124BAD SLGS-08	2011-06-09 11:42:00	OAQ	0	2			TRUE	TRUE
01102629	391600106235702	TLS-06 TURQUOISE LAKE SOUTH 6	2011-06-17 14:22:00	OAQ	0	1			TRUE	TRUE
01102630	391511106232101	SC00908124ACA SLGS-02B	2011-06-10 09:47:00	WGQ	5	0			TRUE	TRUE
01102631	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2011-06-07 11:07:00	WSQ	1	0			FALSE	FALSE
01102632	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2011-06-08 15:27:00	WSQ	4	1			TRUE	TRUE
01102633	391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2011-06-09 14:37:00	WSQ	1	0			TRUE	TRUE
