RECORD_NO	SITE_NO	STATION_NM	SAMPLE_START_DT	MEDIUM_CD	Fil.greater.Unf	Fil.greater.Unf.10perc	RPD.greater.10perc	RPD.greater.10perc.DL	imbalance.greater.10perc	imbalance.greater.10perc.complete
01202552	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2012-05-30 16:10:00	WG 	4	1			FALSE	FALSE
01202553	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2012-05-31 09:40:00	WS 	11	1			FALSE	FALSE
01202554	391504106225001	SC00908019CBA2 LSGS-0A	2012-05-31 10:10:00	WG 	4	1	2	21	FALSE	FALSE
01202555	391506106225201	SC00908019BCDD1 LSGS-01 LITTLE SUGARLOAF GL SEEP 1	2012-05-31 10:40:00	WG 	0	0			FALSE	FALSE
01202556	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2012-05-31 11:05:00	WG 	0	0			FALSE	FALSE
01202557	391516106230301	SC00908019BCBB1 LSGS-04 LITTLE SUGARLOAF GL SEEP 4	2012-05-31 11:30:00	WG 	2	1			FALSE	FALSE
01202559	391517106230601	SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5	2012-05-31 12:05:00	WG 	0	0			FALSE	FALSE
01202560	391519106230901	LSGS-11, LITTLE SUGARLOAF GULCH SEEP 11	2012-05-31 13:20:00	WG 	0	0			FALSE	FALSE
01202562	391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	2012-05-31 14:20:00	WG 	0	0			FALSE	FALSE
01202563	391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	2012-05-31 14:50:00	WG 	0	0			FALSE	FALSE
01202564	391517106224701	SC00908019BDBB2 BPS-03 BUFFALO PK SEEP NR LEADVILL	2012-05-31 15:10:00	WG 	0	0			FALSE	FALSE
01202565	391516106224401	SC00908019BDBB3 BPS-04 BUFFALO PK SEEP NR LEADVILL	2012-05-31 15:35:00	WG 	0	0			FALSE	FALSE
01202591	391512106230301	DINERO DRIPPER AT 1140 FEET NEAR LEADVILLE, CO	2012-05-31 14:45:00	WG 	1	2			FALSE	FALSE
01202592	391512106230401	DINERO STRUCTURE AT 1200 FT NEAR LEADVILLE, CO	2012-05-31 14:10:00	WG 	2	2			FALSE	FALSE
01202593	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2012-05-30 11:00:00	WG 	4	0			FALSE	FALSE
01202594	391518106230901	LSGS-10, LITTLE SUGARLOAF GULCH SEEP 10	2012-05-31 13:30:00	WG 	0	0			FALSE	FALSE
01203972	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2012-09-20 11:37:00	WGQ	4	0			FALSE	FALSE
01203973	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2012-09-20 15:32:00	OAQ	0	3			TRUE	TRUE
01203974	391510106241001	SC00908124BCCB1 CG-05 CABIN SHAFT NR COLORADO GULC	2012-09-21 09:47:00	WGQ	2	0			FALSE	FALSE
01203975	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2012-09-21 12:32:00	OAQ	1	2			TRUE	TRUE
01203976	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2012-09-20 09:12:00	OAQ	0	3			TRUE	TRUE
01203977	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2012-09-20 15:07:00	WGQ	1	0			FALSE	FALSE
01203978	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2012-09-21 09:22:00	OAQ	0	2			TRUE	TRUE
01203979	391516106230301	SC00908019BCBB1 LSGS-04 LITTLE SUGARLOAF GL SEEP 4	2012-09-21 09:57:00	WGQ	2	0			FALSE	FALSE
01205299	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2012-09-20 10:10:00	WS 	2	2			FALSE	FALSE
01205300	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2012-09-20 10:50:00	WS 	0	0			FALSE	FALSE
01205301	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2012-09-20 11:30:00	WG 	2	0	2	9	FALSE	FALSE
01205302	391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2012-09-20 12:15:00	WG 	0	0			FALSE	FALSE
01205303	391501106225001	SLGS-09 SUGARLOAF GULCH SEEP 9 PIPE NR DINERO, CO	2012-09-20 12:50:00	WG 	0	0			FALSE	FALSE
01205304	391504106225001	SC00908019CBA2 LSGS-0A	2012-09-20 13:30:00	WG 	1	2			FALSE	FALSE
01205305	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2012-09-20 14:00:00	WS 	4	0			FALSE	FALSE
01205306	391506106225201	SC00908019BCDD1 LSGS-01 LITTLE SUGARLOAF GL SEEP 1	2012-09-20 14:40:00	WG 	0	0			FALSE	FALSE
01205307	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2012-09-20 15:30:00	WS 	1	0			FALSE	FALSE
01205308	391500106225501	SC00908019CBAC1 SLGS-01 SUGARLOAF GULCH SEEP 1	2012-09-20 16:15:00	WG 	0	0			FALSE	FALSE
01205309	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2012-09-20 17:15:00	WG 	4	1			FALSE	FALSE
