"RECORD_NO"	"SITE_NO"	"STATION_NM"	"SAMPLE_START_DT"	"MEDIUM_CD"	"PROJECT_CD"	"RA_Metals"	"FA_Metals"	"Iron"	"Anions"	"Alkalinity"	"Isotopes"	"Field"	"Q"
"11"	"01305829"	"391518106230901"	"LSGS-10, LITTLE SUGARLOAF GULCH SEEP 10"	2013-05-31 12:30:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"12"	"01305830"	"391519106230901"	"LSGS-11, LITTLE SUGARLOAF GULCH SEEP 11"	2013-05-31 12:50:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"13"	"01305832"	"391504106223001"	"LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO"	2013-05-31 15:00:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"14"	"01305833"	"391435106230801"	"SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD"	2013-05-30 14:05:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"15"	"01305834"	"391445106230701"	"SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1"	2013-05-30 15:20:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"16"	"01305835"	"391443106225701"	"SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO"	2013-05-30 16:00:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"17"	"01305836"	"391501106224901"	"SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7"	2013-05-30 17:15:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"18"	"01305837"	"391452106224201"	"LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL"	2013-05-31 09:25:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"19"	"01305838"	"391454106224201"	"LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO"	2013-05-31 10:20:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"20"	"01305839"	"391500106224901"	"UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI"	2013-05-31 10:50:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"21"	"01305840"	"391501106225401"	"SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU"	2013-05-31 12:30:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"22"	"01305841"	"391501106230601"	"NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL"	2013-05-31 13:05:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"23"	"01305842"	"391502106230601"	"SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK"	2013-05-31 13:40:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"24"	"01305843"	"391513106232601"	"SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4"	2013-05-31 14:30:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"25"	"01305844"	"391513106230401"	"DINERO BULKHEAD SPIGOT AT 1250 FT NR LEADVILLE, CO"	2013-05-31 16:20:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"26"	"01305845"	"391512106230401"	"DINERO STRUCTURE AT 1200 FT NEAR LEADVILLE, CO"	2013-05-31 15:56:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"27"	"01305853"	"391504106225200"	"DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE"	2013-09-19 10:15:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"28"	"01305854"	"391500106224901"	"UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI"	2013-09-19 11:30:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	"82082,82085"	""	""
"29"	"01305855"	"391501106224901"	"SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7"	2013-09-19 12:30:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"30"	"01305856"	"391501106225001"	"SLGS-09 SUGARLOAF GULCH SEEP 9 PIPE NR DINERO, CO"	2013-09-19 13:20:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"31"	"01305857"	"391445106230701"	"SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1"	2013-09-19 15:10:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"32"	"01305858"	"391443106225701"	"SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO"	2013-09-19 16:05:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"33"	"01305859"	"391504106225201"	"LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D"	2013-09-20 09:40:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"34"	"01305860"	"391512106230001"	"SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3"	2013-09-20 10:30:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"35"	"01305861"	"391517106230601"	"SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5"	2013-09-20 11:35:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"36"	"01305862"	"391517106230602"	"LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO"	2013-09-20 12:35:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"37"	"01305864"	"391518106230901"	"LSGS-10, LITTLE SUGARLOAF GULCH SEEP 10"	2013-09-20 14:30:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"38"	"01305865"	"391519106230901"	"LSGS-11, LITTLE SUGARLOAF GULCH SEEP 11"	2013-09-20 15:10:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"39"	"01305866"	"391559106230901"	"SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP"	2013-09-19 11:45:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"40"	"01305867"	"391606106241601"	"SC00908113ADB TL-ADIT"	2013-09-19 12:45:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"41"	"01305868"	"391435106230801"	"SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD"	2013-09-19 14:45:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"42"	"01305869"	"391517106223801"	"BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA"	2013-09-19 16:30:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"43"	"01305870"	"391452106224201"	"LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL"	2013-09-20 10:00:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"44"	"01305871"	"391454106224201"	"LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO"	2013-09-20 10:30:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"45"	"01305872"	"391513106232601"	"SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4"	2013-09-20 12:30:00	"WG "	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"46"	"01305873"	"391502106230601"	"SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK"	2013-09-20 13:20:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"47"	"01305874"	"391501106230601"	"NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL"	2013-09-20 13:50:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"48"	"01305875"	"391504106223001"	"LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO"	2013-09-20 15:00:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"49"	"01305876"	"391501106225401"	"SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU"	2013-09-20 15:45:00	"WS "	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"50"	"01400280"	"391512106230401"	"DINERO STRUCTURE AT 1200 FT NEAR LEADVILLE, CO"	2013-10-28 09:15:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	"00010,00300"	"00061"
"51"	"01400281"	"391513106230401"	"DINERO BULKHEAD SPIGOT AT 1250 FT NR LEADVILLE, CO"	2013-10-28 09:25:00	"WG "	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	"00010,00300"	"00061"
"52"	"01402566"	"391454106224201"	"LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO"	2014-05-29 11:30:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"53"	"01402567"	"391500106224901"	"UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI"	2014-05-29 12:15:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"54"	"01402568"	"391501106224901"	"SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7"	2014-05-29 12:50:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"55"	"01402569"	"391504106225200"	"DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE"	2014-05-29 13:30:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"56"	"01402570"	"391504106225201"	"LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D"	2014-05-29 14:00:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"57"	"01402571"	"391501106225401"	"SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU"	2014-05-29 15:30:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	"00300"	""
"58"	"01402572"	"391501106230601"	"NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL"	2014-05-29 16:30:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"59"	"01402573"	"391504106223001"	"LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO"	2014-05-30 09:20:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"60"	"01402574"	"391517106223801"	"BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA"	2014-05-30 10:00:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"61"	"01402575"	"391512106230001"	"SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3"	2014-05-30 12:00:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	"00300"	""
"62"	"01402576"	"391517106230601"	"SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5"	2014-05-30 12:45:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	"00300"	""
"63"	"01402577"	"391517106230602"	"LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO"	2014-05-30 13:00:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	"00300"	""
"64"	"01402578"	"391519106230901"	"LSGS-11, LITTLE SUGARLOAF GULCH SEEP 11"	2014-05-30 13:45:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	"00300"	""
"65"	"01402579"	"391518106230901"	"LSGS-10, LITTLE SUGARLOAF GULCH SEEP 10"	2014-05-30 13:20:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	"00300"	""
"66"	"01402580"	"391452106224201"	"LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL"	2014-05-29 10:15:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"67"	"01402581"	"391443106225701"	"SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO"	2014-05-29 12:05:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"68"	"01402582"	"391445106230701"	"SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1"	2014-05-29 12:55:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"69"	"01402583"	"391449106232001"	"SC00908124DDBC1 SBGS-02 STRAWBERRY GULCH SEEP 2"	2014-05-29 13:45:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"70"	"01402584"	"391435106230801"	"SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD"	2014-05-29 14:40:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	"00061"
"71"	"01402585"	"391502106230601"	"SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK"	2014-05-29 16:25:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"72"	"01402586"	"391559106230901"	"SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP"	2014-05-30 09:40:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	"00061"
"73"	"01402587"	"391530106223601"	"SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI"	2014-05-30 13:05:00	"WS "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	"01075,01106,01000,01005,01010,01015,00915,01025,01110,01035,01030,01115,01040,82331,50573,50574,01120,50575,01125,50577,00935,01180,01130,62844,00925,01056,01060,00930,50580,50579,01065,00666,01049,50582,01135,01095,01187,01145,00955,82323,01080,82319,50586,82365,01150,01057,50587,22703,01085,01155,01201,01194,01090,01160"	""	""	"00418,29802,63786"	""	""	""
"74"	"01402588"	"391512106230401"	"DINERO STRUCTURE AT 1200 FT NEAR LEADVILLE, CO"	2014-05-30 15:55:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	"00061"
"75"	"01402589"	"391513106230401"	"DINERO BULKHEAD SPIGOT AT 1250 FT NR LEADVILLE, CO"	2014-05-30 16:05:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	"00061"
"76"	"01402590"	"391513106232601"	"SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4"	2014-05-30 12:20:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"77"	"01402591"	"391600106235701"	"TLS-05 TURQUOISE LAKE SOUTH 5"	2014-06-12 11:55:00	"WS "	"009YD1900"	""	""	""	"00940"	"00418,29802,63786"	""	"00010,00095,00400,00300"	"00061"
"78"	"01402592"	"391606106241601"	"SC00908113ADB TL-ADIT"	2014-06-12 12:40:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	"00010,00095,00400,00300"	"00061"
"79"	"01403803"	"391502106230601"	"SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK"	2014-09-24 12:40:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"80"	"01403804"	"391452106224201"	"LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL"	2014-09-23 10:45:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	"00061"
"81"	"01403805"	"391606106241601"	"SC00908113ADB TL-ADIT"	2014-09-23 12:15:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"82"	"01403806"	"391559106230901"	"SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP"	2014-09-23 13:55:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"83"	"01403807"	"391435106230801"	"SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD"	2014-09-23 16:10:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"84"	"01403808"	"391443106225701"	"SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO"	2014-09-24 09:00:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
