USGS SID,Sample start date (yyyymmdd),Sample start time (hhmm),medium code,Sample end date (yyyymmdd),Sample end time (hhmm),01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162
391504106225201,20140924,0902,OAQ,,,0.5,2,1,0.2,0.05,0.2,0.2,0.02,0.01,0.02,1,0.02,0.5,0.005,0.005,0.01,20,0.05,0.01,0.05,0.005,0.03,0.01,2,0.1,0.01,0.2,1,0.01,0.2,0.01,0.4,0.01,0.05,0.01,0.01,1,0.6,1,0.2,0.01,0.5,0.1,0.005,0.2,0.5,0.1,0.005,0.1,0.5,0.5,0.01,0.01,3,0.2
391517106230602,20140924,1030,WS,,,0.5,943,1,23.7,0.81,0.2,104,43.1,3,0.7,1,0.02,23.5,2,0.88,0.38,98,0.49,2.5,0.05,0.36,3.7,6.4,4.2,0.1,38,21500,1,8.6,0.2,5.9,124,0.01,1.46,1.4,3.7,1,1.7,1,21,1.4,419,0.1,0.37,0.2,6.3,0.1,0.096,1.11,0.5,0.5,12.7,0.51,5180,0.2
391502106230601,20140924,1240,WS,,,1.35,1780,1,28.4,1.7,0.2,44.7,37,9.1,6.9,1,0.03,18.6,2,0.85,0.33,1110,0.38,2.7,0.05,0.35,2,5.6,3,0.1,10.6,13800,1,4.2,0.2,6.3,32.4,0.01,42.6,1.5,3.5,1,2.1,1,27,1.7,191,0.1,0.42,0.2,3.2,0.1,0.093,5.03,0.5,0.5,10,0.49,9820,0.2
391502106230601,20140924,1247,WSQ,,,0.5,1120,1,20.6,1,0.2,47,15.2,3.6,2,1,0.04,18,1.1,0.49,0.32,80,0.21,1.5,0.05,0.19,2.5,2.7,2.2,0.1,11.5,8340,1,4.6,0.2,3.4,27.1,0.06,0.17,0.77,1.7,1,1.7,1,23,1.1,197,0.1,0.23,0.2,2.4,0.1,0.051,1.29,0.5,0.5,5.3,0.31,3720,0.2
391500106224901,20140923,1245,WG,,,0.5,1130,1,20.6,1,0.2,47.2,15.4,3.6,1.9,1,0.03,17.9,1.2,0.48,0.29,49,0.21,1.5,0.05,0.18,2.5,2.6,2,0.1,11.5,8120,1,4.7,0.2,3.4,27.4,0.06,0.12,0.76,1.7,1,1.8,1,23,1,200,0.1,0.22,0.2,2.4,0.1,0.052,1.24,0.5,0.5,5.2,0.3,3750,0.2
391501106230601,20140924,1340,WG,,,0.5,144,38.8,21.4,1.3,0.2,73.2,0.21,0.77,13.4,1,0.23,0.9,0.45,0.15,0.069,37400,0.79,0.72,0.06,0.069,1.5,0.23,3.6,0.1,22,43100,1,7.1,0.2,0.42,21.4,0.1,0.36,0.08,5.5,1,2,1,26,0.22,196,0.1,0.11,0.2,5.7,0.1,0.01,0.49,0.5,0.5,2,0.07,11500,0.2
391512106230401,20140924,1340,WG,,,0.5,33.7,12.7,22.8,0.49,0.2,136,0.02,0.22,10.8,1,0.48,1.2,0.005,0.005,0.01,22800,0.49,0.01,0.06,0.005,2.2,0.01,6.9,0.1,35.5,24200,1,11.9,0.2,0.01,17,0.1,0.05,0.01,8.2,1,2.2,1,31,0.01,331,0.1,0.005,0.2,7.2,0.1,0.005,0.1,0.5,0.5,0.06,0.01,5290,0.74
391513106230401,20140924,1350,WG,,,0.5,257,24.7,9,1.5,0.2,102,2.7,0.58,35.7,1,0.4,1.4,0.33,0.11,0.073,57600,1.3,0.6,0.08,0.051,2.9,0.27,5.8,0.1,23.8,71200,1,8.5,0.2,0.46,50.5,0.5,7.44,0.08,9.8,1,2.3,1,29,0.28,251,0.1,0.078,0.2,8.4,0.1,0.01,0.37,0.5,0.5,1.7,0.06,20900,0.2
391501106225401,20140924,1425,WS,,,0.5,568,1,34.5,0.32,0.2,49.4,3.9,2.6,4.7,1,0.02,4,0.58,0.23,0.1,1180,0.31,0.75,0.05,0.1,2.4,1.6,2.6,0.1,12.9,17100,1,5.2,0.2,1.7,12,0.01,36.3,0.41,3.1,1,1.6,1,21,0.45,157,0.1,0.11,0.2,2.9,0.1,0.03,0.74,0.5,0.5,2.6,0.13,2870,0.2
391501106225401,20140924,1422,OAQ,,,0.5,2,1,0.2,0.05,0.2,0.2,0.02,0.01,0.02,1,0.02,0.5,0.005,0.005,0.01,20,0.05,0.01,0.05,0.005,0.03,0.01,2,0.1,0.01,0.2,1,0.01,0.2,0.01,0.4,0.01,0.05,0.01,0.01,1,0.6,1,0.2,0.01,0.5,0.1,0.005,0.2,0.5,0.1,0.005,0.1,0.5,0.5,0.01,0.01,3,0.2
391559106230901,20140923,1407,WGQ,,,0.5,518,1,7.5,0.1,0.2,8.1,2.3,1.6,1.8,1,0.11,1.8,0.083,0.03,0.01,215,0.1,0.12,0.05,0.01,0.6,0.54,3.2,0.1,8.5,3910,1,4.5,0.2,0.74,5.2,0.01,0.24,0.17,2,1,1.7,1,23,0.12,11.6,0.1,0.01,0.2,0.8,0.1,0.005,0.11,0.5,0.5,0.41,0.02,873,1.2
391443106225701,20140924,0900,WS,,,0.5,17.1,1,16.2,0.05,0.2,9.1,0.02,0.16,0.22,1,0.02,0.5,0.006,0.005,0.01,332,0.05,0.02,0.05,0.005,0.91,0.06,2,0.1,3,117,1,3.5,0.2,0.05,0.7,0.01,0.07,0.01,1.2,1,0.8,1,11,0.01,40.6,0.1,0.005,0.2,0.5,0.1,0.005,0.1,0.5,0.5,0.06,0.01,25.5,0.2
